Tag / Module,HTTP Method,Endpoint Path,Summary,Description,Parameters,Request Body,Responses,Operation ID,Deprecated
MinIO Object Storage,GET,/api/v1/storage/download/{object_name},Download Object File Stream,"Streams an object's binary content directly from MinIO to the HTTP client. Supports downloading a specific historical revision by supplying the `version_id` query parameter. If `version_id` is omitted, the latest version is returned.","object_name (path, string, Required); bucket_name (query, any, Optional); version_id (query, any, Optional)",-,HTTP 200: File stream returned successfully | HTTP 404: Object or specified version ID not found | HTTP 422: Validation Error,download_file_api_v1_storage_download__object_name__get,No
MinIO Object Storage,DELETE,/api/v1/storage/objects/{object_name},Delete Object or Specific Version,"Deletes an object or a specific version ID from MinIO. If `version_id` is specified, only that particular historical revision is deleted.","object_name (path, string, Required); bucket_name (query, any, Optional); version_id (query, any, Optional)",-,HTTP 200: Object deleted successfully | HTTP 500: MinIO deletion error | HTTP 422: Validation Error,delete_object_api_v1_storage_objects__object_name__delete,No
Async Task & Worker Queue,POST,/api/v1/jobs,Enqueue Asynchronous Background Task,Submits a computational task into the Redis-backed ARQ message queue for asynchronous processing by worker processes.  - **job_name**: The registered python function name to run in the background (default: `simple_work`). - **args**: Positional arguments list to pass to the worker. - **kwargs**: Keyword arguments dictionary to pass to the worker.  Returns immediately with an assigned `job_id` and initial `queued` state.,-,application/json,HTTP 202: Job placed on queue successfully | HTTP 500: Redis connection or queue submission failure | HTTP 422: Validation Error,enqueue_background_job_api_v1_jobs_post,No
Async Task & Worker Queue,GET,/api/v1/jobs/{job_id},Check Background Job Status,Queries the real-time execution state of a previously dispatched background task. Possible status values: - `queued`: Waiting in queue for an available worker thread. - `in_progress`: Currently executing in worker process. - `complete`: Finished execution; `result` contains worker return value. - `not_found`: Job expired from Redis or does not exist.,"job_id (path, string, Required)",-,HTTP 200: Job status retrieved successfully | HTTP 500: Redis inspection error | HTTP 422: Validation Error,get_job_status_api_v1_jobs__job_id__get,No
Label Studio Integration,GET,/api/v1/labeling/projects,List Annotation Projects,Fetches all existing labeling projects configured in Label Studio. Returns project metadata including total task count and completed annotation statistics.,-,-,HTTP 200: Projects retrieved successfully | HTTP 500: Label Studio connection error,list_projects_api_v1_labeling_projects_get,No
Label Studio Integration,GET,/api/v1/labeling/projects/{project_id}/tasks,List Tasks in Project,Retrieves all annotation tasks associated with a specific project ID in Label Studio. Each task contains the payload (e.g. image URLs or text) and any completed annotation labels.,"project_id (path, integer, Required)",-,HTTP 200: Project tasks retrieved successfully | HTTP 404: Project ID not found | HTTP 500: Label Studio error | HTTP 422: Validation Error,get_project_tasks_api_v1_labeling_projects__project_id__tasks_get,No
Label Studio Integration,POST,/api/v1/labeling/projects/{project_id}/tasks,Import New Task into Project,Submits a new data item (e.g. S3 image URL or dataset sample) into Label Studio for manual annotation.,"project_id (path, integer, Required)",application/json,HTTP 201: Task created successfully | HTTP 500: Failed to create task | HTTP 422: Validation Error,create_project_task_api_v1_labeling_projects__project_id__tasks_post,No
Trainer Worker,POST,/api/v1/train/enqueue,เข้าคิวสั่งเทรนโมเดล (Token Classification),รับคำสั่งเทรนโมเดล แล้ว enqueue งานเข้าคิว ARQ ชื่อ `training_queue` โดยเฉพาะ เพื่อให้ Trainer Worker (container แยกที่มี GPU) เป็นตัวเดียวที่หยิบงานนี้ไปทำ  - **dataset_object_name**: ชื่อไฟล์ dataset ที่ต้องอัปโหลดเข้า MinIO ไว้ล่วงหน้าแล้ว - **model_output_name**: ชื่อโมเดลที่จะใช้บันทึกกลับไป MinIO เมื่อเทรนเสร็จ - **queue_time**: ถ้าระบุ งานจะไม่เริ่มจนกว่าจะถึงเวลานี้ (ใช้ ARQ `_defer_until` เบื้องหลัง),-,application/json,HTTP 202: เข้าคิวสำเร็จ | HTTP 500: เข้าคิวไม่สำเร็จ (Redis connection error) | HTTP 422: Validation Error,enqueue_train_job_api_v1_train_enqueue_post,No
Trainer Worker,GET,/api/v1/train/{job_id},ตรวจสอบสถานะงานเทรน,ตรวจสอบว่างานเทรนที่ enqueue ไว้อยู่ในสถานะใด (queued / in_progress / complete),"job_id (path, string, Required)",-,HTTP 200: Successful Response | HTTP 422: Validation Error,get_train_job_status_api_v1_train__job_id__get,No
System Diagnostics,GET,/,API Discovery & Welcome Root,"Returns high-level metadata, version information, and quick links to interactive documentation.",-,-,HTTP 200: Successful Response,root_discovery__get,No
